OBJNAME,RA,DEC,Z,constellation
CGCG 063-075,147.42424999999997,12.657472222222223,2.951e-02,Leo
MRK 0125,147.56245833333332,45.95736111111111,2.492e-02,Ursa Major
NGC 3016,147.4610833333333,12.695222222222222,2.985e-02,Leo
UGC 05268,147.734375,62.185694444444444,2.456e-02,Ursa Major
UGC 05267,147.47029166666664,9.09575,1.885e-02,Leo
CGCG 007-045,147.608625,1.5825277777777778,2.486e-02,Sextans
KUG 0947+474,147.76554166666665,47.16777777777777,2.562e-02,Ursa Major
CGCG 092-056,147.70783333333333,17.138416666666668,2.824e-02,Leo
IC 0568,147.7847083333333,15.730444444444444,2.913e-02,Leo
KUG 0949+471,148.2335833333333,46.92927777777778,2.456e-02,Ursa Major
NGC 3039,148.123625,2.154444444444444,1.665e-02,Sextans
KUG 0950+363,148.3264583333333,36.08580555555556,1.807e-02,Leo Minor
NGC 3041,148.27974999999998,16.677666666666667,4.707e-03,Leo
MCG +10-14-047,148.513125,58.40211111111111,2.988e-02,Ursa Major
UGC 05312,148.43274999999997,2.3740833333333335,2.096e-02,Sextans
UGC 05314,148.4627083333333,8.878194444444444,2.138e-02,Leo
KUG 0951+336A,148.56266666666667,33.39013888888889,2.865e-02,Leo Minor
KUG 0951+466,148.6724583333333,46.37133333333333,2.544e-02,Ursa Major
IC 2515,148.66424999999998,37.40858333333333,1.941e-02,Leo Minor
CGCG 092-073,148.808125,14.299305555555556,2.442e-02,Leo
CGCG 182-036,148.92883333333333,37.009388888888886,2.130e-02,Leo Minor
IC 2520,149.08383333333333,27.22758333333333,4.149e-03,Leo
CGCG 123-005,149.062125,20.495805555555556,2.382e-02,Leo
IC 0578,149.06729166666665,10.486083333333333,2.980e-02,Leo
UGC 05346,149.4202083333333,45.25866666666667,2.422e-02,Ursa Major
CGCG 239-046,149.4138333333333,44.897444444444446,2.616e-02,Ursa Major
CGCG 064-009,149.44766666666663,10.02713888888889,2.143e-02,Leo
CGCG 093-014,149.72458333333333,18.619055555555555,2.526e-02,Leo
IC 0582,149.7509583333333,17.817138888888888,2.544e-02,Leo
CGCG 064-029,150.16516666666666,11.94675,2.470e-02,Leo
NGC 3094,150.35808333333333,15.770083333333334,8.019e-03,Leo
UGC 05396,150.41866666666667,10.756444444444444,1.801e-02,Leo
KUG 0959+340,150.56383333333332,33.85725,1.726e-02,Leo Minor
CGCG 064-037,150.55766666666665,11.689027777777778,2.203e-02,Leo
